trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
83,False,"{'a': 0.01, 'e': 0.6748757600712672}",25,0,-50.76220372326134,"{0: 21, 1: 0, 2: 2, 3: 1, 4: 1}",0
84,False,"{'a': 0.01, 'e': 0.6674628258413082}",20,0,-7.531161167196353,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
85,False,"{'a': 0.01, 'e': 0.6599831458849822}",25,0,-84.5549466903037,"{0: 19, 1: 3, 2: 1, 3: 0, 4: 2}",0
86,False,"{'a': 0.01, 'e': 0.6524374681640519}",20,13,0.24361186170685656,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
87,False,"{'a': 0.01, 'e': 0.6448265472400012}",25,5,-40.48840609827879,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",1
88,False,"{'a': 0.01, 'e': 0.6371511441985802}",25,18,-32.810968615594504,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
89,False,"{'a': 0.01, 'e': 0.6294120265736969}",20,2,-14.884911393827108,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 0}",1
90,False,"{'a': 0.01, 'e': 0.6216099682706645}",25,14,16.246868436361915,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.01, 'e': 0.6137457494888116}",25,7,-25.203112067148734,"{0: 15, 1: 2, 2: 0, 3: 0, 4: 1}",1
92,False,"{'a': 0.01, 'e': 0.6058201566434629}",25,0,-36.54715792441092,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 1}",0
93,False,"{'a': 0.01, 'e': 0.5978339822872982}",20,4,-15.626861167840111,"{0: 12, 1: 2, 2: 2, 3: 0, 4: 0}",1
94,False,"{'a': 0.01, 'e': 0.5897880250310983}",20,0,-31.953600623209468,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
95,False,"{'a': 0.01, 'e': 0.5816830894638835}",20,9,-2.6445911630775,"{0: 8, 1: 2, 2: 1, 3: 0, 4: 0}",1
96,False,"{'a': 0.01, 'e': 0.5735199860724567}",20,0,1.6730985392376478,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
97,False,"{'a': 0.01, 'e': 0.5652995311603544}",20,10,-7.114681771485892,"{0: 8, 1: 1, 2: 0, 3: 1, 4: 0}",1
98,False,"{'a': 0.01, 'e': 0.5570225467662173}",20,0,-23.26847594214868,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
99,False,"{'a': 0.01, 'e': 0.5486898605815876}",25,8,-48.21593533234031,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 1}",1
100,False,"{'a': 0.01, 'e': 0.5403023058681398}",20,5,-47.66072262608115,"{0: 11, 1: 2, 2: 1, 3: 0, 4: 1}",1
101,False,"{'a': 0.01, 'e': 0.5318607213743555}",25,13,1.9813956551277885,"{0: 9, 1: 3, 2: 0, 3: 0, 4: 0}",1
102,False,"{'a': 0.01, 'e': 0.5233659512516496}",30,12,14.824503262066145,"{0: 16, 1: 2, 2: 0, 3: 0, 4: 0}",1
103,False,"{'a': 0.01, 'e': 0.5148188449699553}",25,0,-104.77131679755686,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
104,False,"{'a': 0.01, 'e': 0.5062202572327784}",20,10,16.42532122165897,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
105,False,"{'a': 0.01, 'e': 0.497571047891727}",25,0,-71.28024896139077,"{0: 18, 1: 0, 2: 6, 3: 0, 4: 1}",0
106,False,"{'a': 0.01, 'e': 0.48887208186052755}",20,3,-29.17702776618331,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
107,False,"{'a': 0.01, 'e': 0.48012422902853413}",30,0,2.244616066429787,"{0: 25, 1: 2, 2: 3, 3: 0, 4: 0}",1
108,False,"{'a': 0.01, 'e': 0.47132836417373997}",20,3,-29.669997814145802,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 1}",1
109,False,"{'a': 0.01, 'e': 0.4624853668753008}",20,11,5.154330826183143,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
110,False,"{'a': 0.01, 'e': 0.4535961214255773}",25,0,-22.09804928723625,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
111,False,"{'a': 0.01, 'e': 0.44466151674170673}",20,0,-73.01348476699532,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
112,False,"{'a': 0.01, 'e': 0.43568244627671204}",20,10,-6.91371790517568,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
113,False,"{'a': 0.01, 'e': 0.42665980793015723}",25,9,9.502638617117425,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
114,False,"{'a': 0.01, 'e': 0.41759450395835795}",20,0,-22.566533897311636,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
115,False,"{'a': 0.01, 'e': 0.40848744088415717}",20,8,20.77773760443713,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.01, 'e': 0.3993395294062732}",20,10,19.557436553802845,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.01, 'e': 0.3901516843082303}",20,15,8.135705026368182,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
